news,price,date
【业绩会直击】万亿腾讯怎么了？净利连续3个季度同比下滑 最新营收刚持平 数实经济成发展支柱,153.43,2015-6-23
腾讯控股一季报出炉！金融科技及企业服务业务同比增长10%,158.86,2015-6-24
ToC的微信被点赞 但ToB业务增幅更大 腾讯营收结构继续调整,157.21,2015-6-25
腾讯Q1净利润下滑23%！连续3个季度下滑 数实经济成支柱！,155.17,2015-6-26
腾讯一季报出炉：营收1355亿元与去年持平 净利下滑23%,148.58,2015-6-29
研发+36% 利润-23%！一升一降间、马斯克“盛赞”下 腾讯在下一盘大棋？,150.13,2015-6-30
考砸了！腾讯一季度收入、净利低于预期,151.87,2015-7-2
腾讯控股2022年一季度净利润同比下滑23% 自由现金流为152亿元,150.52,2015-7-3
连续三个季度下滑！腾讯一季度净利下降23% 研发大增36%！看最新回应,142.17,2015-7-6
腾讯业绩电话会划重点：移动游戏仍有增长空间、可能进行人员优化,140.42,2015-7-7
腾讯一季度净利润下滑23% 数实经济成支柱,130.82,2015-7-8
腾讯一季度业绩低于市场预期,141.69,2015-7-9
腾讯发布一季度财报 净利润255.5亿元,144.5,2015-7-10
中金公司维持腾讯控股中性评级 目标价428港元,146.05,2015-7-13
业绩承压改换赛道 腾讯一季度净利润同比下降23%,147.22,2015-7-14
港股公告精选｜腾讯Q1营收1354.71亿元；亚盛医药的奥雷巴替尼有治疗新冠潜力,145.57,2015-7-15
腾讯一季度净利同比负增长：To B业务保持高增速 游戏业务原地踏步,145.57,2015-7-16
腾讯云、社交广告收入首现下滑 腾讯进入零增长时代？,149.06,2015-7-17
腾讯净利连降三季 人均月薪增至逾8万！马化腾：调整非核心业务,150.9,2015-7-20
招银国际维持腾讯控股买入评级 目标价480港元,151.97,2015-7-21
华金证券维持腾讯控股增持评级,149.93,2015-7-22
关于视频号、游戏版号以及投资业务 腾讯管理层这样说,149.93,2015-7-23
腾讯一季度营收1354.7亿元,147.02,2015-7-24
开源证券维持腾讯控股买入评级,141.3,2015-7-27
中信证券维持腾讯控股买入评级 目标价490港元,142.17,2015-7-28
腾讯一季度本土游戏市场收入同比下降1%  手游收入同比下降3%,140.13,2015-7-29
持股价值一季度缩水近4000亿 腾讯还能“下金蛋”么？,138.58,2015-7-30
国金证券维持腾讯控股买入评级,140.42,2015-7-31
西部证券维持腾讯控股买入评级,139.74,2015-8-3
腾讯诉vivo不正当竞争将开庭，此前曾申请诉前行为保全,138.77,2015-8-4
一文概览｜大行如何解读腾讯Q1业绩？目标价有何调整？,138.19,2015-8-5
腾讯穿越转型阵痛期：企业服务主动降亏损 对投资采取平衡措施,136.74,2015-8-6
互联网大厂成本优化潮起！腾讯增速放缓变得理性：部分非核心业务调整,137.9,2015-8-7
腾讯调整To B战略：持续投入研发 加速数实融合,138.58,2015-8-10
德邦证券维持腾讯控股买入评级,136.64,2015-8-11
光大证券维持腾讯控股买入评级 目标价529港元,130.91,2015-8-12
全球大跌A股独涨 腾讯股价重挫6.5%拖累港股走低,139.84,2015-8-13
方正证券维持腾讯控股推荐评级,139.16,2015-8-14
腾讯Q1营收1355亿 净利润下滑23%,137.8,2015-8-17
东方财富证券维持腾讯控股增持评级,135.28,2015-8-18
招商证券(香港)维持腾讯控股买入评级 目标价507港元,135.47,2015-8-19
招商证券(香港)维持腾讯控股买入评级 目标价507港元,132.17,2015-8-20
安信国际证券维持腾讯控股买入评级 目标价446.5港元,127.71,2015-8-21
国信证券维持腾讯控股买入评级 目标价479~535港元,121.31,2015-8-24
国泰君安维持腾讯控股增持评级,127.03,2015-8-25
中信建投证券维持腾讯控股买入评级 目标价615港元,124.8,2015-8-26
腾讯体育被曝调整组织架构 足篮球运营组等六大业务组被撤销,128.29,2015-8-27
广发证券维持腾讯控股买入评级 目标价524.94港元,126.84,2015-8-28
腾讯诉vivo案开庭 应用商店之争折射流量焦虑,127.9,2015-8-31
腾讯体育被传裁撤多个运营业务,123.44,2015-9-1
业绩会刚提“可能会进行人员优化” 腾讯体育应声传出架构调整,123.63,2015-9-2
第一上海证券维持腾讯控股买入评级 目标价500港元,123.63,2015-9-4
东吴证券维持腾讯控股买入评级,122.66,2015-9-7
海通证券维持腾讯控股优于大市评级 目标价508.64~584.22港元,125.58,2015-9-8
招商证券维持腾讯控股强烈推荐评级,129.65,2015-9-9
天风证券维持腾讯控股买入评级,124.8,2015-9-10
腾讯新闻任命何毅进为新负责人,123.63,2015-9-11
腾讯新闻更换负责人,124.22,2015-9-14
微信增“群聊消息置顶”功能 网友直呼“工作群变更可怕了”,127.32,2015-9-15
腾讯新闻换帅：任命何毅进为新负责人 坚持精品内容定位升级产品,131.4,2015-9-16
腾讯新闻任命何毅进为新负责人 原负责人调任PCG社交平台与应用线,130.33,2015-9-17
一季度媒体广告收入同比降30% 腾讯新闻换帅能否扭转乾坤,131.3,2015-9-18
安信证券维持腾讯控股买入评级 目标价460港元,129.85,2015-9-21
中金公司维持腾讯控股中性评级 目标价428港元,128.49,2015-9-22
东兴证券维持腾讯控股强烈推荐评级,127.03,2015-9-23
腾讯重要公告！事关这些内容,126.84,2015-9-24
借微粒贷可防止微信号被封？谣言！如遇封号情况 可以这样进行提现和还款……,127.13,2015-9-25
又酸了！腾讯35亿股权激励落地 人均收获50万,123.54,2015-9-29
东方证券维持腾讯控股买入评级 目标价404.71港元,125.48,2015-9-30
借微粒贷可防止微信号被封？谣言！,131.5,2015-10-2
腾讯新闻“瞬间没了”？腾讯回应：恶意造谣 新闻业务正常运行,135.57,2015-10-5
腾讯新闻：网传裁撤传言不实,135.47,2015-10-6
腾讯新闻“瞬间没了 负责人被撤”？公司回应：恶意造谣 业务正常运行！刚进行组织架构调整,137.8,2015-10-7
腾讯王琼：从社区治理到乡村振兴 企业微信助力社会治理数字化,137.9,2015-10-8
罗大佑孙燕姿刷屏背后 字节和腾讯又开始抢流量了,137.71,2015-10-9
腾讯应用宝再诉vivo不正当竞争 应用商店市场竞争已近白热化,139.74,2015-10-12
视频号抖音点将罗大佑孙燕姿 传统广告疲软直播扛起营收重任,138.68,2015-10-13
罗大佑与孙燕姿擂台背后：抖音微信一场非主流战役,138.39,2015-10-14
持有腾讯、茅台！这家海外巨头手握190只中国股票 市值超500亿元,140.71,2015-10-15
腾讯申请注册鹅子商标,142.27,2015-10-16
腾讯薪酬再改革：晋升不再直接调薪 结合业绩贡献等综合评估,142.75,2015-10-19
突发：高瓴也裁员？紧急辟谣！腾讯宣布 薪酬规则大调整！,142.56,2015-10-20
腾讯调整薪酬和评级规则：升职与加薪脱钩 涨工资越来越难了？,141.98,2015-10-22
腾讯未来中心项目落户成都高新区,144.79,2015-10-23
升职≠加薪！腾讯薪酬改革刷屏 什么情况？网友：大厂也卷起来了？,144.6,2015-10-26
腾讯旗下财付通小额贷款公司增资至100亿,144.69,2015-10-27
腾讯视频宣布将推出内容热度系统,145.37,2015-10-28
参投多家A股上市公司遭遇大额浮亏 腾讯放缓投资脚步,143.63,2015-10-29
腾讯VR剧情聊天专利获授权,142.27,2015-10-30
中国宋庆龄基金会与腾讯发起“全国青少年编程与人工智能计划”,143.14,2015-11-2
腾讯微保长期医疗险新品上线,146.05,2015-11-3
腾讯起诉vivo 一次远离核心战场的厮杀,148.48,2015-11-4
重启后第二批游戏版号来了！涉及多家大厂 仍无腾讯网易,147.8,2015-11-5
光大证券：版号监管有望进入常态化阶段 为游戏行业带来确定性增量,149.93,2015-11-6
行业利好不断！腾讯网易又缺席？,147.51,2015-11-9
嗨了！一则消息 腾讯市值增近2000亿元！,145.96,2015-11-10
头部小贷公司继续增资 腾讯财付通小贷注册资本升至100亿元,147.02,2015-11-11
腾讯财付通小贷增资至100亿元 互联网大厂旗下小贷公司密集增资,150.42,2015-11-12
腾讯控股获南向资金连续3天净买入,147.7,2015-11-13
腾讯控股连续3天获南向资金净买入,144.69,2015-11-16
腾讯微保全新品牌升级 推出微信服务里的“保险帮手”,146.73,2015-11-17
腾讯考核等级精简为三档 不合格干部将被“及时更换”,146.93,2015-11-18
西部证券维持腾讯控股买入评级,148.58,2015-11-19
腾讯碳中和的新动作 瞄向了能源行业,150.52,2015-11-20
反内卷？腾讯精简考核等级 “以贡献论英雄”！股价反弹超三成 互联网股集体回暖,150.9,2015-11-23
腾讯微保携手脱口秀综艺 带观众体验“微信服务里的保险帮手”,151.49,2015-11-24
腾讯微保携手脱口秀综艺 带您体验“微信服务里的保险帮手”,151.78,2015-11-25
腾讯微保开启全新品牌升级 定位“微信服务里的保险帮手”,151.1,2015-11-26
腾讯光子工作室群成立“光宙映像”子品牌,148.67,2015-11-27
印媒：腾讯收购印度电商Flipkart价值2.64亿美元股份,149.74,2015-11-30
冲上热搜：腾讯下架！网友：别了 一起看片的老友！,149.74,2015-12-1
冲上热搜！腾讯全线下架 一代看片神器面临谢幕,149.16,2015-12-2
微信增设群聊消息置顶功能,149.84,2015-12-3
敦煌研究院与腾讯成立技术实验室：首次建造全真数字藏经洞,146.54,2015-12-4
腾讯自研业务完成全面上云,146.44,2015-12-7
QQ正式上线智能视频字幕功能,145.28,2015-12-8
腾讯宣布自研业务完成全面上云 已累计节省成本超30亿元,146.25,2015-12-9
出bug了？微信支付回应支付异常：目前已全面恢复,145.96,2015-12-10
热搜第一！微信支付崩了？网友：饭都吃不了了 微信团队最新回复……,143.24,2015-12-11
微信支付崩了？回应称目前已全面恢复,142.17,2015-12-14
热搜第一！微信支付回应出现异常：已全面恢复 网友：耽误我干饭,143.14,2015-12-15
腾讯宣布自研业务实现全面上云,147.31,2015-12-16
腾讯自研业务全面上云,147.12,2015-12-17
微信支付崩了？腾讯回应称：已紧急修复,146.83,2015-12-18
历时3年 腾讯宣布自研业务完成全面上云,145.86,2015-12-21
微信支付崩了 微信回应：目前已恢复,146.34,2015-12-22
耗时三年腾讯自研业务全面上云 最大难点不在技术而在组织内部,147.7,2015-12-23
商业故事｜云上腾讯,147.31,2015-12-24
机构：5月腾讯《王者荣耀》在全球吸金2.68亿美元,146.44,2015-12-28
微信公众平台：从事数字藏品类业务为违规经营行为 提供二级交易服务将被封号,146.34,2015-12-29
微信公众平台新规禁止提供与数字藏品二级交易服务 否则将被封号,146.25,2015-12-30
腾讯控股出售新东方在线7460万股,147.99,2015-12-31
微信公众平台新规：公众号不可提供与数字藏品二级交易相关服务,144.69,2016-1-4
腾讯教育“开花”：“腾班”迎首届毕业生,143.04,2016-1-5
腾讯大幅减持新东方在线股票 套现超7亿港元几近清仓,141.69,2016-1-6
价格降九成、微信禁止二级交易……数字藏品“退潮”,136.06,2016-1-7
突然！腾讯“清仓”减持 套现超7亿港元！有机构挖人？俞敏洪：给董宇辉发一股,138.39,2016-1-8
腾讯大消息引爆涨停潮！万亿级重磅赛道中午传来新动向！,133.92,2016-1-11
腾讯重磅动作 元宇宙概念股爆发 这些超跌龙头业绩持续高增长,132.08,2016-1-12
如何从A股角度看待腾讯减持新东方？,133.34,2016-1-13
又一巨头押注元宇宙？概念股异动拉升 主力、机构看好这些个股,133.05,2016-1-14
腾讯拟在日本建设第三个数据中心,132.95,2016-1-15
微信：打击涉社会治安热点事件谣言信息,131.98,2016-1-18
迟到的腾讯能否玩转元宇宙,135.67,2016-1-19
微信回应《网络主播行为规范》：相关账号未提供资质或被封号,131.4,2016-1-20
腾讯 实体经济搭上新技术快车,129.17,2016-1-21
腾讯汤道生：腾讯不造车 专注参与车企全链路数字化升级,134.89,2016-1-22
腾讯升级“车云一体化”战略 在上海开设智能汽车云专区,140.04,2016-1-25
腾讯发布“智能汽车云” 再次明确不造车,137.61,2016-1-26
腾讯云的一个“小项目” 如何扛起数亿用户需求？,136.35,2016-1-27
腾讯声明“不造车” 却在上海布局了业内首个汽车“云平台”,137.42,2016-1-28
腾讯申请注册多个“光子宇宙”商标,140.62,2016-1-29
腾讯QQ回应大规模账号被盗：正在收集黑产团伙犯罪证据,142.66,2016-2-1
QQ账号大规模被盗？腾讯回应：正收集黑产团伙犯罪证据,141.3,2016-2-2
腾讯控股：Naspers集团将有序场内出售公司股份,137.42,2016-2-3
腾讯回应大批QQ账号被盗：已恢复正常 系不法分子伪造登录二维码,137.71,2016-2-4
腾讯控股：Naspers将出售所持公司股份以筹集回购计划所需资金,139.65,2016-2-5
腾讯：Naspers将有序场内出售所持本公司股份以筹集回购计划所需资金,131.88,2016-2-11
腾讯控股：主要股东Naspers将出售公司股份,129.36,2016-2-12
热搜第一！大批账号被盗 刚刚QQ回应了！,134.12,2016-2-15
刚刚 腾讯QQ回应部分用户被盗号,135.18,2016-2-16
腾讯QQ回应“大规模盗号”：黑产作恶,134.12,2016-2-17
腾讯控股午后跳水一度翻绿：主要股东Naspers集团将出售公司股份,138.09,2016-2-18
腾讯控股:主要股东Naspers集团将出售公司股份筹集回购计划所需资金,137.03,2016-2-19
腾讯大股东启动股票回购 将出售腾讯股份筹集资金,137.51,2016-2-22
腾讯控股：主要股东Naspers集团将出售公司股份 预计每天出售量将占每日平均成交量一小部分,137.71,2016-2-23
南非大股东一份公告 3万亿腾讯突发“闪崩” 发生了什么？,136.25,2016-2-24
腾讯午后股价直线跳水 主要股东Naspers宣布减持,134.89,2016-2-25
腾讯股东Prosus及Naspers将少量出售腾讯股票,138.48,2016-2-26
港股分析师称Naspers抛售对腾讯股价仅有短期心理影响,137.71,2016-2-29
腾讯股东Prosus及Naspers将少量出售腾讯股票用于自身回购缓解压力,140.23,2016-3-1
腾讯控股午后突然跳水！大股东计划持续减持 20年来投资“躺赚”12000倍,143.92,2016-3-2
大股东再次减持腾讯 违背“三年不卖”承诺,143.24,2016-3-3
腾讯大股东宣布减持,142.85,2016-3-4
打破“三年不减持”承诺 腾讯控股大股东计划持续减持,142.17,2016-3-7
腾讯再遭大股东减持 股价跳水后小幅回升,141.98,2016-3-8
腾讯QQ疑似出现大面积盗号！自动给好友和群发送违法内容 网友：QQ安全中心就是个摆设？,141.39,2016-3-9
腾讯QQ回应大批账号被盗！正收集黑产团伙犯罪证据 网友：你知道我有多社死吗？,140.71,2016-3-10
港股集体飙涨 腾讯一分钟上演跳水！“三年不减持”变卦了？大股东“卖儿自救”,143.72,2016-3-11
3万亿巨头盘中“跳水”！主要股东又要减持…前两次减持消息释出后 腾讯股价表现如何？,148.77,2016-3-14
受南非大股东持续减持计划影响  腾讯股价今大起大落 冲刺400港元失败,146.83,2016-3-15
微信青少年模式上线支付限额功能,146.44,2016-3-16
大股东再抛减持计划  腾讯午后股价大跳水,147.8,2016-3-17
腾讯游戏发布逾40款新品 首次曝光系列“游戏科技”项目,153.23,2016-3-18
腾讯游戏开始“不务正业”,153.43,2016-3-21
腾讯游戏推出12款新品,154.79,2016-3-22
腾讯两家股东将少量出售腾讯控股股票 用于自身回购缓解压力,154.98,2016-3-23
若看好腾讯 请忘掉大股东,154.11,2016-3-24
腾讯高级副总裁马晓轶：首要的战略变化是面向全球玩家制作游戏,152.65,2016-3-29
时报观察丨若看好腾讯 请忘掉大股东,153.52,2016-3-30
腾讯重要股东南非报业集团和普罗苏斯双双大涨 两大股东拟减持腾讯股份,153.72,2016-3-31
腾讯游戏：游戏技术打造创造新价值的“超级数字场景”,153.82,2016-4-1
腾讯披露云游戏技术进展 可应用于游戏、影视制作领域,151.97,2016-4-5
恒生科技指数跌幅扩大至2% 腾讯控股跌近3%,154.3,2016-4-6
中金公司维持腾讯控股中性评级 目标价428港元,157.02,2016-4-7
光大证券维持腾讯控股买入评级 目标价529港元,155.27,2016-4-8
游戏技术走出游戏能做什么？助力文物保护、加速产业数字化,154.79,2016-4-11
腾讯确认成立XR业务线  游戏技术落地民航工业等外部场景,155.27,2016-4-12
腾讯高级副总裁马晓轶：腾讯已成立XR业务线,159.64,2016-4-13
腾讯游戏发布超过40款产品 UE5、云原生和社会价值成为重点,160.12,2016-4-14
腾讯安全联合毕马威发布监管科技白皮书,160.41,2016-4-15
最新！微信推出重要功能 速看……,160.8,2016-4-18
腾讯控股今日回购83万股 回购价格为358-368港元 共耗资约3亿港元,160.8,2016-4-19
腾讯控股：今日回购83万股 耗资约3亿港元,157.12,2016-4-20
微信最新版本上线“快速提取文字”功能,158.67,2016-4-21
腾讯智慧零售“千域计划2.0”亮相,157.99,2016-4-22
腾讯联合毕马威发布监管科技白皮书：监管科技加速进入黄金发展期,155.17,2016-4-25
腾讯安全副总裁黎巍：多变的业态下需要更加普适性的监管科技底座,157.02,2016-4-26
腾讯线上举办游戏发布会 系列“游戏科技”项目出炉,154.79,2016-4-27
大股东减持“带崩”股价 腾讯火速回购 什么信号？这次能持续多久？,156.24,2016-4-28
光大证券维持腾讯控股买入评级 目标价529港元,154.2,2016-4-29
国信证券维持腾讯控股买入评级 目标价479~535港元,150.71,2016-5-3
腾讯控股：今日回购83万股 耗资约3.04亿港元,149.93,2016-5-4
腾讯控股今日回购83万股 耗资约3.035亿港元,148.67,2016-5-5
腾讯控股今日回购83万股 回购价格为361-370港元 共耗资约3.035亿港元,149.35,2016-5-6
西部证券维持腾讯控股买入评级,150.52,2016-5-9
京东与腾讯再度续约 合作领域深入至技术及供应链,151.78,2016-5-10
腾讯火速出手回购 年内回购逾70亿港元创历史新高,151.87,2016-5-11
深农集团与腾讯签署战略协议 共建“数字菜篮子”,149.64,2016-5-12
腾讯连续大手笔回购,150.52,2016-5-13
腾讯大手笔回购 半年逾70亿港元,155.17,2016-5-16
京东与腾讯再次“续约” 盘和林：少了战略价值 多了“生意”,158.09,2016-5-17
先学后付！微信支付新上“教培服务工具箱”监管资金流向 能解决家长痛点吗？,156.34,2016-5-18
腾讯会议上线“应用市场” 首批入驻超20款应用,152.55,2016-5-19
腾讯控股：今日回购84万股 耗资约3.01亿港元,153.82,2016-5-20
腾讯高管人事变动：程武、赖智明不再兼任公司副总裁,154.4,2016-5-23
腾讯管理层调整：两副总裁卸任集团职务 涉网文、金融领域,155.76,2016-5-24
腾讯管理层调整：两副总裁卸任集团职务 涉网文、金融领域,159.64,2016-5-25
程武与赖智明不再担任腾讯公司副总裁及其它管理职位,158.96,2016-5-26
腾讯管理层调整：程武与赖智明不再担任公司副总裁,166.14,2016-5-27
卸任腾讯副总裁 程武专任阅文掌门人 能助公司重返千亿市值吗？,164.88,2016-5-30
中金公司维持腾讯控股中性评级 目标价428港元,168.18,2016-5-31
腾讯收购的短视频平台VUE VLOG宣布停止运营 用户曾过千万,165.36,2016-6-1
深圳大学与腾讯深化战略合作 联合打造多学科智算中心底座,165.17,2016-6-2
腾讯成立XR部门  不止于为游戏服务,165.75,2016-6-3
腾讯游戏“再出海”：转向主机和PC端  支持技术共享,168.66,2016-6-6
腾讯控股：今日回购86万股 回购价格为345-356港元 耗资约3.01亿港元,171.38,2016-6-7
腾讯控股：约3.01亿港元回购86万股公司股份,170.7,2016-6-8
腾讯控股：今日回购86万股 耗资约3.01亿港元,169.93,2016-6-10
微信内测“大小号”功能 同一手机号可注册两个账号了,164.49,2016-6-13
微信内测新功能：一个手机号可注册两个微信账号,163.33,2016-6-14
腾讯控股：耗资3亿港元回购86万股股份,167.89,2016-6-15
微信内测新功能：一个手机号可注册两个微信账号,163.81,2016-6-16
10年100亿支持基础研究！“新基石研究员项目”开放申报,163.91,2016-6-17
腾讯《掌上WeGame》将于9月8日停运  称因业务发展策略变更,165.66,2016-6-20
9月8日正式关服 腾讯《掌上WeGame》为何停运？,167.79,2016-6-21
腾讯控股再回购86万股 耗资约3亿港元,171.87,2016-6-22
10年100亿元、不设成果期限 腾讯最新资助项目瞄准基础研究,170.9,2016-6-23
腾讯起诉深圳微商城公司侵权获赔！深圳微商城公司侵权腾讯被判赔65万,168.66,2016-6-24
滥用张小龙照片构成不正当竞争 腾讯诉深圳微商城公司一审获赔,165.85,2016-6-27
腾讯控股：7月6日回购87万股 回购价格为341-352港元 耗资约3.01亿港元,165.46,2016-6-28
腾讯控股：3.01亿元回购87万股公司股份,167.3,2016-6-29
腾讯与中国银行在企业数字化场景金融领域达成合作,170.9,2016-6-30
腾讯与中国银行合作发力数字化场景  助力提升中小企业金融服务质效,173.61,2016-7-4
腾讯与中国银行签署协议 在企业数字化场景金融领域达成合作,171.19,2016-7-5
腾讯与中国银行签署合作协议,169.15,2016-7-6
腾讯控股耗资约3亿港元回购86万股,171.09,2016-7-7
腾讯控股：今日回购86万股，回购价格为346-351港元，耗资约3亿港元,171.77,2016-7-8
腾讯控股：今日耗资约3亿港元回购86万股,174.68,2016-7-11
腾讯与中国银行签署协议 涉及数字化场景金融领域,175.55,2016-7-12
机构：梦华录全网独播 腾讯视频移动端6月收入环比增长9%,175.84,2016-7-13
腾讯微保“7·8全民保障节” 持续深耕用户保险教育领域,178.08,2016-7-14
响应全国保险公众宣传日号召 腾讯微保持续深耕用户保险教育,179.34,2016-7-15
腾讯天美分拆J3工作室：大团队变小团队 聚焦FPS品类和出海,179.53,2016-7-18
自大股东宣布减持以来 腾讯控股累计回购逾680万股,177.88,2016-7-19
市场监管总局公布腾讯收购铸梦动画股权案行政处罚决定书,180.11,2016-7-20
腾讯与奔驰在高级别自动驾驶领域达成战略合作,179.14,2016-7-21
腾讯牵手奔驰 合作重点直指高级别自动驾驶,179.73,2016-7-22
腾讯与梅赛德斯-奔驰签署合作备忘录 建立自动驾驶联合实验室,182.44,2016-7-25
腾讯奔驰牵手战略合作 强化自动驾驶联合研发,180.79,2016-7-26
腾讯控股：今日回购88万股 回购价格为340.8-346港元 耗资约3亿港元,183.41,2016-7-27
腾讯控股：耗资约3亿港元回购88万股,183.41,2016-7-28
腾讯控股：耗资3亿港元回购88万股,180.99,2016-7-29
奔驰与腾讯展开战略合作 借此实现L3自动驾驶系统本地化,179.05,2016-8-1
警惕！微信出现这两个界面 马上停手,176.14,2016-8-3
国泰君安维持腾讯控股增持评级,177.2,2016-8-4
腾讯调整金融消费者权益保护委员会 刘炽平和郭凯天直接领导,179.14,2016-8-5
腾讯CISG调整组织架构：成立智慧行业九部 负责运营商行业大客户拓展,183.22,2016-8-8
腾讯CSIG成立政企业务线 李强担任政企业务总裁,182.64,2016-8-9
腾讯CSIG成立政企业务线 将深耕政务、体育、运营商等领域,182.44,2016-8-10
腾讯CSIG成立政企业务线 进一步巩固To B、To G市场,183.12,2016-8-11
腾讯控股：约3亿港元回购公司89万股,182.25,2016-8-12
腾讯CSIG组织升级：成立政企业务线 李强担任政企业务线总裁,185.45,2016-8-15
腾讯CSIG成立政企业务线 加速数字技术在实体经济落地应用,189.63,2016-8-16
豪掷30亿港元 腾讯连续10日回购！南向资金已悄悄扫货,187.3,2016-8-17
微信公众平台运营中心：禁止进行金融类欺诈营销宣传 包括有偿荐股、夸大虚拟币等,197.0,2016-8-18
微信公众平台规范金融类违规营销内容 禁止进行金融类不实营销宣传,195.84,2016-8-19
腾讯控股：3亿港元回购公司89万股股票,198.75,2016-8-22
腾讯控股：今日回购89万股股票 耗资逾3亿港元,197.58,2016-8-23
腾讯控股今日回购89万股 回购价格为335.2-339.6港元 耗资约3亿港元,195.06,2016-8-24
腾讯连日回购 耗资超30亿港元,193.6,2016-8-25
腾讯游戏：“腾讯天游”未在任何媒体和社交平台开设帐号,194.48,2016-8-26
腾讯控股7月14日回购90万股 耗资约3亿港元,195.45,2016-8-29
腾讯控股：耗资约3亿港元回购90万股,198.75,2016-8-30
腾讯控股今日回购90万股 回购价格为332.4-337.4港元 耗资约3亿港元,195.84,2016-8-31
网传王者荣耀发布停止运营公告？官方辟谣：从未发过,196.61,2016-9-1
腾讯控股：今日回购90万股 耗资约3亿港元,195.84,2016-9-2
中金公司维持腾讯控股中性评级 目标价410港元,203.99,2016-9-5
中信证券维持腾讯控股买入评级 目标价424港元,208.65,2016-9-6
国海证券维持腾讯控股买入评级 目标价437港元,206.9,2016-9-7
腾讯微保董事长刘家明已离职，下一站将赴区块链游戏开发商Animoca Brands,208.65,2016-9-8
腾讯旗下手游《征服与霸业》将于9月19日停运,207.48,2016-9-9
腾讯微保董事长刘家明已离职,200.88,2016-9-12
腾讯控股获南向资金连续3天净买入,201.85,2016-9-13
微信视频号原生广告正式上线,202.43,2016-9-14
多家外资巨头大幅加仓中概互联网股 来看最新持仓清单,203.6,2016-9-15
腾讯控股连续3天获南向资金净买入,203.21,2016-9-19
与快手达成长视频二创合作？腾讯视频回应：谣言！,202.82,2016-9-20
腾讯视频和快手达成短视频二创合作？腾讯视频回应：谣言,204.96,2016-9-21
腾讯视频回应：“与某公司达成长视频二创战略合作”的消息不实,208.26,2016-9-22
腾讯视频：与某公司达成长视频二创战略合作消息为谣言,211.75,2016-9-23
腾讯广告业务添利器：视频号上线信息流广告,206.7,2016-9-26
腾讯视频：与某公司达成长视频二创战略合作消息不实,209.42,2016-9-27
腾讯视频否认与快手就长视频二创合作,210.2,2016-9-28
腾讯发放5万个视频消费红包 看看怎么领？,211.17,2016-9-29
腾讯投资居家养老护理服务商福寿康,206.7,2016-9-30
光大证券维持腾讯控股买入评级 目标价529港元,210.39,2016-10-3
腾讯投资福寿康 后者为居家养老护理服务商,210.97,2016-10-4
腾讯投资社区居家养老护理服务商福寿康,210.97,2016-10-5
腾讯又一游戏将停服！这款打磨了4年的游戏 去年3月才上线,210.97,2016-10-6
腾讯计划关停数字藏品业务“幻核”，继续降本增效,209.81,2016-10-7
热搜第一！微信迎来重要更新，新增这些功能……,209.42,2016-10-11
微信打开时支持消息通知横幅：在其他界面里可以直接回复新消息,207.09,2016-10-12
腾讯将关闭“幻核”：上线未满一年 为国内最大的数字藏品平台之一,203.79,2016-10-13
腾讯计划关闭数字藏品业务“幻核”   此前相关产品已停售,202.82,2016-10-14
数字藏品“退潮”？腾讯计划裁撤数字藏品业务幻核,202.63,2016-10-17
微信新功能来了！支持消息通知横幅、全屏输入等 网友：什么时候取消所有共同好友点赞提醒,206.12,2016-10-18
腾讯幻核撤退？数字藏品泡泡传来破裂声,206.51,2016-10-19
走进腾讯：强化数字科技创新驱动 助力实体经济转型发展,207.87,2016-10-20
热搜第一 微信崩了？微信团队回应,209.03,2016-10-24
微信就“部分功能发生故障”致歉：功能已经恢复中,208.45,2016-10-25
腾讯、泡泡玛特、商汤接连出手 港股今年以来回购金额超去年全年,205.93,2016-10-26
腾讯副总裁、腾讯智慧交通和出行总裁钟翔平：深耕技术创新 助力产业数字化升级,204.38,2016-10-27
腾讯：共享创新平台走出新企鹅,201.85,2016-10-28
国海证券维持腾讯控股买入评级 目标价437港元,199.72,2016-10-31
西部证券维持腾讯控股买入评级,201.08,2016-11-1
腾讯CSIG调整组织架构 成立地图产品部与数字孪生产品部,198.36,2016-11-2
奖励1万点流量券、挖抖音等达人 微信视频号急变现,196.03,2016-11-3
腾讯电竞发布年度规划：将从赛事、产业基础建设、城市商业场景等维度建设电竞产业,194.09,2016-11-4
招商证券维持腾讯控股强烈推荐评级,198.17,2016-11-7
腾讯发布“腾讯电竞年度规划” 推出“电竞SaaS工具集”,199.52,2016-11-8
腾讯云数据库负责人借一亿元炒股？知情人士：金额不实,196.42,2016-11-9
腾讯联合长三角之声推出首位AI数字人主播“长小姣” 今日正式上岗,202.05,2016-11-10
中泰证券维持腾讯控股买入评级,194.09,2016-11-11
腾讯智慧零售正式发布“智慧零售私域人才认证计划”,186.91,2016-11-14
腾讯悄然杀入“出行服务”市场,187.49,2016-11-15
暴跌4.4万亿！腾讯跌回5年前 什么情况？大规模回购也在展开 未来走向哪儿？,191.08,2016-11-16
盘后跌破300港元 港股超跌拖腾讯“跳水”,189.04,2016-11-17
上海“五五购物节”启动 腾讯将发放超1亿元优惠券,189.63,2016-11-18
投资大佬段永平又出手 斥资2500万元买入10万股腾讯,187.88,2016-11-21
腾讯控股跌3% 再次跌破300港元关口,190.01,2016-11-22
投资大佬段永平第4次抄底腾讯！未来股价能否受益？,188.56,2016-11-23
